Molecule Name	Condition_1-1	Condition_1-2	Condition_1-3	Condition_2-1	Condition_2-2	Condition_2-3	Condition_3-1	Condition_3-2	Condition_3-3	Condition_4-1	Condition_4-2	Condition_4-3	Control-1	Control-2	Control-3
CDPDAG_OP	17.20123252	16.50086296	21.3891418	19.67544252	21.18668022	20.57800333	21.32486415	20.90170446	21.33869623	18.45637035	18.11680979	17.41682434	16.56162009	16.95024165	16.49264044
CDPDAG_OPo	16.28976715	15.59282647	20.20013411	17.01966962	19.75515027	18.62195491	19.62644125	18.35846456	19.72704137	16.77157802	16.25291112	15.12644134	14.3958076	14.85263572	14.25620464
CDPDAG_PoPo	13.74274932	12.94056081	18.09146419	17.18239912	18.06163809	17.65967124	18.7352597	19.11920493	18.88382133	16.07341111	15.3382795	14.1808068	13.87963831	16.51406374	14.10333237
CDPDAG_PPo	14.63976702	12.91237173	20.30714537	16.43883473	19.99619684	19.36776651	20.27146511	19.59334641	20.3190837	17.07621651	17.06149986	16.62009068	15.57984443	14.00859455	15.79307896
CL_64:2	20.93303379	21.1834074	22.19654415	20.21710115	22.10854	21.57557684	22.21270892	22.21270892	22.21270892	21.65392927	21.06104771	20.9959529	20.82829851	20.8010325	20.75494334
CL_64:3	21.75284368	22.21270892	22.86705333	22.59898556	23.77557702	23.27546361	23.40055829	24.37387183	23.32460094	22.65465311	22.45379008	22.66888115	22.34360276	23.86329318	22.21270892
CL_64:4	22.21270892	22.20413202	23.14442038	23.65037335	24.727911	24.14586006	24.53740928	25.90140348	24.34019167	24.74386471	23.19630554	23.48894948	23.03925879	25.26713289	22.91991885
CL_66:2	20.80159284	21.13734538	22.11846623	20.54201065	21.87874127	21.32265803	21.24968024	20.99810847	21.21654869	21.32971071	21.00932377	20.73893284	20.87478804	20.39106018	20.70682443
CL_66:3	22.84829242	23.31636885	23.95036287	22.49049974	23.84360898	23.42360123	23.51922223	24.01831382	23.45029525	23.68620487	22.87108669	22.99542129	22.91745891	23.48355643	22.8003651
CL_66:4	24.49574834	24.67820528	24.9564248	24.95842005	26.04722833	25.59891857	25.7396166	26.97752083	25.43395845	26.10320519	24.78740581	25.10682303	24.73317246	26.67244853	24.62671979
CL_68:3	23.4047418	23.78788543	23.88482742	22.55796819	23.40328256	23.17033423	23.01796418	23.17384999	22.92499925	23.35372082	22.8597884	22.91088254	23.02137449	23.0357377	22.96536019
CL_68:4	25.35545762	25.61978945	25.33641272	25.13112927	26.35671468	25.94297072	25.83817026	26.68979558	25.40785794	26.39197074	25.44045913	25.66976908	25.3995725	26.58299772	25.35679891
CL_70:3	22.25595154	22.47810772	22.21270892	21.52969356	21.66603977	21.66325543	21.18910438	21.30355604	21.05020887	21.50781427	21.55474905	21.45680432	21.76509999	21.36200457	21.76282115
CL_70:4	24.79927434	25.08305861	24.26939992	24.29935568	25.0704477	24.82530526	24.36557265	24.93664905	23.97263734	25.14933312	24.62137515	24.72559756	24.60517728	25.14154929	24.63143661
CL_72:4	22.5279724	22.86142599	21.57736911	22.21270892	22.21270892	22.21270892	21.34933109	21.82760112	21.017317	22.21270892	22.21270892	22.21270892	22.21270892	22.21270892	22.29641848
DAG_OO	24.82585128	24.72018841	23.93132217	23.70928711	23.95534591	24.08208108	24.0390899	24.10063566	23.75971285	24.11816132	23.93980924	24.22872061	24.63272855	24.77341346	24.70184242
DAG_OP	27.5822148	27.01962979	26.58741641	26.35622851	26.51997836	26.74827027	26.95357643	26.21990756	26.6222596	27.29987015	26.68341361	27.12498218	27.36129028	27.32948751	27.38642455
DAG_OPo	26.69517611	26.48509599	25.86938581	25.78844066	26.49724125	26.18866525	26.58678854	26.64469822	26.47381278	26.34565572	26.00798173	26.27028252	26.55065291	26.90467024	26.6843382
DAG_PoPo	25.02355962	24.88434524	24.6843008	24.59875216	25.4008956	24.9851843	25.38891825	25.49612778	25.50042773	25.10306702	24.69055374	24.92388729	25.29445342	25.6525909	25.43605154
DAG_PPo	25.34787741	25.02191078	25.09921367	24.88394371	25.28890976	25.28715117	25.73954455	25.23959329	25.64327847	25.78844066	25.11525949	25.42021483	25.62131247	25.84547661	25.72807584
DMQ6	12.41834199	0	0	11.66965256	14.58822441	15.17056408	14.89339488	15.37449265	15.98607722	17.01123565	17.24221134	17.99383411	17.34442672	16.89277555	17.24414946
HHB6	22.0854167	22.04061683	20.2331651	23.44601268	23.60190517	23.83674244	24.25465391	23.92503227	24.80938986	23.54938181	24.18080692	24.04374401	23.32481739	23.0780572	23.22829733
lysoPA_Po	23.55346547	23.19765207	23.16259501	23.81172624	22.76778569	23.21014358	23.71267118	21.40883223	22.87930725	24.27056167	21.6519048	22.4908858	22.74120123	22.86435718	22.71544053
lysoPC_O	25.78844066	25.89252638	25.0068834	26.51212724	25.03892189	25.61093962	26.03340115	25.78844066	25.70788437	26.38636509	25.03898569	25.42293119	25.60655184	26.35493536	25.95381043
lysoPC_P	23.7372837	23.82172985	23.37691816	24.50672386	23.10051762	23.78998226	23.99489246	23.71826604	23.8383084	24.28658649	23.03841425	23.43103084	23.53778784	24.21576714	23.82293424
lysoPC_Po	26.16280151	26.53335577	25.89201112	27.36231028	25.78844066	26.43219425	26.80304327	26.68573391	26.64525858	27.1720374	25.78844066	26.20026735	26.31894399	27.21587174	26.6380935
Oleic_Acid	25.96748652	25.98748737	25.4098316	24.62850816	25.26639206	25.70118664	24.63377582	24.57851608	25.22520153	24.8182677	25.60146929	25.57412271	25.51629935	24.47790956	25.56679963
PA_OP	25.3258754	24.14043644	24.46835654	24.05870268	25.5976214	23.27916268	24.50154302	24.32090155	23.96143528	24.65728016	24.04244235	24.24065543	24.86458889	24.34756358	24.71927164
PA_OPo	26.20356004	25.8029398	25.72405013	24.97455392	26.53720489	24.49751759	25.72267695	25.38727155	24.84693853	25.38165178	24.61971081	24.88294992	25.78844066	24.89131579	25.45995835
PA_PoPo	25.01237103	25.58163766	25.24473974	24.31711031	24.75335832	24.11809531	24.48878872	24.26001924	24.11743233	24.05738086	23.68780087	23.59356096	24.15354021	23.70658508	23.71566614
PA_PPo	24.00208427	23.7909477	24.28170317	23.78648416	24.49440274	23.47910454	23.97802216	23.9730955	24.04395355	23.94007542	23.57014174	23.65371708	23.95161974	23.70502549	23.64876485
Palmitic_Acid	28.41355172	29.48579228	28.42218122	28.49962119	27.46614933	28.78415792	26.58660165	27.45975124	27.40651043	26.83872183	27.87769075	27.63171094	27.27195238	26.79830472	27.05778858
