Molecule Name	Condition_1-1	Condition_1-2	Condition_1-3	Condition_2-1	Condition_2-2	Condition_2-3	Condition_3-1	Condition_3-2	Condition_3-3	Condition_4-1	Condition_4-2	Condition_4-3	Control-1	Control-2	Control-3
Apex Time - 4.4357 - Resp	24.59349758	24.37791109	24.54912554	24.32723295	24.45382243	24.60232445	24.38296494	24.45357022	24.31331308	24.68259525	24.66911683	24.68746848	24.4927851	24.5105199	24.48581786
Apex Time - 4.9632 - Resp	17.80945811	17.58708601	20.28906581	20.23754245	20.50417776	0	20.00867896	20.23280042	20.31729007	18.19774836	17.54191142	0	19.84689452	19.30690337	19.06303629
Apex Time - 5.0404 - Resp	25.88454075	23.89122895	24.1883499	23.95298383	23.74240264	25.95252565	23.9072218	23.91847929	23.96385817	25.96295119	25.87389001	25.98562722	24.21749747	24.04329544	23.96439122
Apex Time - 5.0695 - Resp	27.39463274	25.26579897	25.76159185	26.10673235	25.89180406	28.1333277	25.96954417	26.0167793	26.03837006	27.71913981	27.62322424	27.33743728	25.04232646	25.18803279	25.06213712
Apex Time - 5.3056 - Resp	25.4479884	25.18960889	25.520515	25.69847189	25.6235821	25.93896263	25.68182262	25.6510127	25.81052742	25.6916831	25.78489206	25.82858834	25.05881795	25.37784026	25.49998463
Apex Time - 5.6352 - Resp	24.27867358	24.43652799	24.69242724	24.23011778	24.18147459	24.6612536	24.29980156	24.34081798	24.68659622	24.30592248	24.87782856	24.5405196	24.41314852	24.38331672	24.40015535
Apex Time - 5.8688 - Resp	23.24855144	22.90718509	23.43971344	22.34743555	22.3281531	22.35491055	22.40666618	22.38764397	22.75679672	22.27284122	22.26378371	22.22536346	22.25176386	22.18909271	23.42040243
Apex Time - 6.0401 - Resp	24.30608042	24.26487662	24.3979644	24.21087398	24.23745047	24.32200689	24.31918073	24.28173936	24.30414739	24.41411845	24.34454127	24.35838314	24.3698405	24.35900762	24.31504735
Apex Time - 6.537 - Resp	16.86643082	18.11203873	17.8273597	17.61614353	17.73405169	18.01420809	17.97825286	17.96490035	18.09992845	17.81077596	17.97287372	18.06557049	17.66599205	17.94997999	18.13202922
Apex Time - 6.6176 - Resp	22.80125879	22.65984509	22.73110861	22.63855376	22.58036971	22.6145482	22.48892957	22.51029862	22.7035437	22.64145475	22.57731653	22.57813248	22.85153081	22.63633426	22.6249618
Lactic acid 2TMS	27.25945058	27.01117065	27.75202036	26.038674	26.16551299	26.42839129	26.72876115	26.56977635	26.90920409	25.54273244	25.51016116	25.45505528	23.92580262	24.2620856	24.32222035
Apex Time - 6.7798 - Resp	21.181411	21.11528993	0	21.06453735	21.00255153	21.06292086	21.00038275	20.98500358	21.17775157	21.07816029	21.095585	21.0753252	21.32184419	21.13769873	21.06003605
Apex Time - 6.8949 - Resp	21.88549745	22.13996224	23.07596736	22.11278648	21.88751652	21.96534742	21.89741443	21.81496481	22.39393372	22.33081491	21.79755537	22.219522	22.04668094	22.33114913	22.40228272
Apex Time - 6.9091 - Resp	22.29417098	21.94856843	21.99085526	21.89770896	21.96950657	22.14057201	21.8083547	21.85095833	22.16470541	22.03970758	22.02399627	21.99667177	21.81222985	21.73858104	21.79350404
Apex Time - 7.0056 - Resp	22.53297397	22.56853356	22.51404905	22.34731586	22.17606161	22.57989713	22.51136295	22.4290661	22.3077894	22.46664056	22.50867392	22.46308621	22.71223996	22.51935357	22.53230333
Pyruvic acid	19.70544976	19.73063006	19.58484136	20.26582312	20.36373344	20.41171108	20.221189	20.41935773	20.47142615	20.79611996	20.93353012	20.93904543	20.46572176	20.36926747	19.68980917
Apex Time - 7.1576 - Resp	23.17334049	22.83924864	23.20032183	23.00760823	22.90086081	23.18893894	22.83808733	23.04070941	22.90705615	22.97187446	23.02142635	22.91099081	22.4940106	22.8737104	22.75846326
Alanine 2TMS	29.97560202	30.99657387	31.25319423	31.70288707	31.71958411	30.5462665	31.60418471	31.68689964	31.69196962	30.45567687	30.35667012	29.88674521	30.62695953	30.87768121	30.78784606
Apex Time - 7.6987 - Resp	22.41484166	22.6589648	22.39282542	22.62445461	22.63282529	22.02564004	22.71647647	22.55576769	22.57821625	18.1616366	18.19401512	18.24860945	22.56995833	22.43113531	22.52467276
Apex Time - 7.7873 - Resp	23.05171482	23.18749872	23.38614996	23.13668049	23.20629958	23.25323404	23.16149819	23.19982931	23.47159638	23.12303239	23.16532371	23.34182035	23.15516014	23.14514126	23.2659187
Hydracrylic acid 2TMS derivative	22.95379815	22.52383535	22.49281751	21.98005038	22.17007562	22.37769239	22.01113933	21.94387945	22.43971055	22.37971529	22.41521486	22.49227909	22.02872661	22.1973772	22.32422078
L-2-aminobutyric acid 2TMS	22.92484496	22.46611446	24.54215317	23.77366775	23.81666014	23.77339482	23.53786346	23.39455237	23.75036084	23.65569085	23.82703728	23.73509408	23.31423266	23.44601264	23.30970978
Apex Time - 8.503 - Resp	19.89642661	19.11732926	18.78178409	19.89523908	19.70206761	19.73174325	19.51084208	19.5455466	19.03679973	19.57020616	19.54272883	19.7812561	19.9765936	19.15190304	19.14557882
Apex Time - 8.7559 - Resp	22.28890452	21.52133947	21.78649242	21.89966	21.7875855	22.30367631	21.62214497	21.74897874	21.73408614	22.23029517	22.25621558	22.28027733	21.9566917	21.65130731	21.57204612
Valine 2TMS	30.63742348	30.09118707	30.39331028	30.49335674	30.45823063	30.91711931	30.48056554	30.52862828	30.4648145	30.85747066	30.85432452	30.69931272	30.12646386	30.45731555	30.2526616
Urea 2TMS	27.31328328	27.19415772	26.33162163	27.65895906	27.57395308	27.16354931	27.77575373	27.764206	27.23067337	27.44777933	27.78181791	28.0055325	28.08713111	27.16774871	27.31970015
Apex Time - 9.2161 - Resp	19.81398462	19.35452466	19.43626406	19.64188351	19.90965959	19.94851684	19.84138632	19.84089064	19.73423881	19.86769663	19.97350663	20.11086003	19.78486204	19.36868602	19.47882012
Apex Time - 9.2811 - Resp	21.46105352	21.43776064	21.23904477	21.97203219	21.9668088	21.99638197	22.06357151	22.19769434	21.40662862	22.09542569	22.2109131	22.20779743	21.94731019	21.4812624	21.08111003
Leucine 2TMS	30.83783522	30.2095289	30.43402495	30.88310534	30.82424591	31.0843515	30.76414901	30.88328114	30.32581361	31.12844241	31.08262135	30.86415992	30.68828498	30.61969719	30.22139412
Isoleucine 2TMS	30.08007945	29.79031854	30.12157236	30.21684691	30.13519032	30.33129672	30.18095581	30.24305044	30.13223386	30.25777683	30.26049784	30.05952432	29.84431467	30.05427879	29.86530265
Apex Time - 9.8632 - Resp	24.5543361	23.92807488	24.39141875	25.54792857	25.506994	25.3821954	25.61622052	25.56965169	25.13134217	24.89298307	25.11115486	24.61283153	24.33667183	23.73889849	23.90314479
Proline 2TMS	29.18673904	29.41060657	29.32781731	29.50597207	29.42539711	29.46586803	29.28901794	29.46030276	29.34134397	29.60292717	29.69048078	29.54784141	29.72010046	29.92559483	29.80084106
Glycine 3TMS	30.0974121	29.72968477	29.96931336	30.30897437	30.27845246	30.3241845	30.54307356	30.5750778	30.41406427	30.12769919	30.25164157	30.08962755	29.96045586	29.94517923	29.81544755
2-methylglyceric acid 2 TMS	24.95954213	24.44585736	24.46694762	24.66963991	24.64965809	24.710646	24.66009601	24.74605999	24.39931608	24.59256895	24.77595334	24.65312188	24.50278313	24.37489803	24.46027926
Apex Time - 10.1957 - Resp	24.15297881	24.0254448	23.64658063	24.32630838	24.42701078	24.13589036	24.16347881	24.37449489	24.19522704	24.0702517	24.35392643	24.33763293	24.24340895	24.13169738	23.8960309
Glyceric acid 3TMS derivative	22.96360606	22.37473953	22.26361409	22.80052714	22.74627859	22.66494029	22.84477124	22.82153315	22.38306859	22.60274138	22.77178322	22.73078431	22.69034419	22.08201804	22.23134396
Apex Time - 10.3175 - Resp	21.89324408	21.80426681	21.5867283	21.62645674	21.9774748	22.1636618	21.85850588	21.87492358	21.48543054	21.64316739	21.87519366	22.08873605	21.98955934	21.44206796	21.8537039
